t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778194249996548407,1778194249996197092,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194249996508055,0,LEFT,0,0,0,0,1778194249789551592,-1,IDLE,0,0,0,0,0
1778194250067438888,1778194250051532814,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250067385518,-1,LEFT,1,1,1,1,1778194250006312870,-1,IDLE,0,0,0,0,1
1778194250131829999,1778194250116111185,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250128666111,0,IDLE,0,0,0,0,1778194250006312870,-1,IDLE,0,0,0,0,0
1778194250198798222,1778194250185949314,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250198675833,-1,LEFT,1,1,1,1,1778194250173447796,-1,IDLE,0,0,0,0,1
1778194250268126203,1778194250267561314,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250268063944,0,IDLE,0,0,0,0,1778194250173447796,-1,IDLE,0,0,0,1,0
1778194250338329388,1778194250337980592,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250338293222,2,RIGHT,1,1,0,1,1778194250273435055,3,FORWARD,0,0,0,1,0
1778194250395529388,1778194250395168388,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250395493666,-1,RIGHT,0,0,1,0,1778194250273435055,3,FORWARD,0,0,0,1,0
1778194250467254240,1778194250462541833,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250467199777,0,IDLE,0,0,0,0,1778194250273435055,3,FORWARD,0,0,0,1,0
1778194250558281351,1778194250534670962,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250558229555,-1,LEFT,1,1,0,1,1778194250499193073,-1,IDLE,0,0,0,0,1
1778194250610579129,1778194250610165444,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250610537740,2,RIGHT,0,0,0,0,1778194250573788036,-1,IDLE,0,0,0,0,0
1778194250660954203,1778194250632552499,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250660881073,1,BACKWARD,0,0,1,0,1778194250573788036,-1,IDLE,0,0,0,0,0
1778194250730979407,1778194250706789258,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250730907647,0,BACKWARD,0,1,0,0,1778194250697820925,3,FORWARD,0,0,0,1,0
1778194250794093332,1778194250772345925,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250794039814,-1,LEFT,1,0,0,1,1778194250697820925,3,FORWARD,0,0,0,1,0
1778194250861380981,1778194250860580258,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250861290981,1,BACKWARD,0,0,0,0,1778194250818180499,-1,IDLE,0,0,0,0,0
1778194250932392832,1778194250931723406,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194250932323518,0,BACKWARD,0,1,0,0,1778194250818180499,-1,IDLE,0,0,0,0,0
1778194250991535647,1778194250991094758,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194250991485869,-1,LEFT,1,0,1,1,1778194250955636166,-1,IDLE,0,0,0,0,1
1778194251054570980,1778194251054114610,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251054526351,1,IDLE,0,0,0,0,1778194250955636166,-1,IDLE,0,0,0,0,0
1778194251132268517,1778194251113843369,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251129657610,-1,BACKWARD,1,1,0,0,1778194251089617925,3,FORWARD,0,0,0,1,0
1778194251192109740,1778194251170796351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251192035795,-1,IDLE,0,0,0,0,1778194251089617925,3,FORWARD,0,0,0,1,0
1778194251246894980,1778194251235320703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251246839258,-1,IDLE,0,0,0,0,1778194251218452443,1,BACKWARD,0,1,0,0,0
1778194251346712721,1778194251346252480,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251346652480,-1,IDLE,0,0,0,0,1778194251218452443,1,BACKWARD,0,1,0,0,0
1778194251398547128,1778194251385622425,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251398491443,-1,IDLE,0,0,0,0,1778194251218452443,1,BACKWARD,0,1,0,0,0
1778194251455461610,1778194251448288110,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251455414758,0,LEFT,0,0,0,0,1778194251218452443,1,BACKWARD,0,1,0,0,0
1778194251531128499,1778194251520622036,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194251531032906,-1,IDLE,1,1,1,1,1778194251218452443,1,BACKWARD,0,1,0,0,0
1778194251591100462,1778194251571256721,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1778194251591044739,-1,IDLE,0,0,0,0,1778194251218452443,1,BACKWARD,0,1,0,0,0
1778194251675809221,1778194251649232350,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194251675711499,1,IDLE,0,0,0,0,1778194251218452443,1,BACKWARD,0,1,0,0,1
1778194251745376591,1778194251730720591,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1778194251745318832,-1,IDLE,1,1,1,1,1778194251704103054,-1,IDLE,0,0,0,0,1
