Linux 6.8.0-1053-raspi (robotgreier4) 	05/09/2026 	_aarch64_	(4 CPU)

05:21:48 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:21:50 AM     0       380    0.00    0.00    0.00    0.00    0.00     3  kworker/3:3-events
05:21:50 AM     0       390    0.00    0.00    0.00    0.00    0.00     2  systemd-udevd
05:21:50 AM     0       397    0.00    0.00    0.00    0.00    0.00     1  psimon
05:21:50 AM     0       440    0.00    0.00    0.00    0.00    0.00     1  vchiq-keep/0
05:21:50 AM     0       441    0.00    0.00    0.00    0.00    0.00     1  SMIO
05:21:50 AM     0       464    0.00    0.00    0.00    0.00    0.00     3  kworker/R-mmal-
05:21:50 AM     0       465    0.00    0.00    0.00    0.00    0.00     3  kworker/R-mmal-
05:21:50 AM     0       467    0.00    0.00    0.00    0.00    0.00     3  kworker/R-mmal-
05:21:50 AM     0       468    0.00    0.00    0.00    0.00    0.00     0  irq/45-feb10000.codec
05:21:50 AM     0       469    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mmal-
05:21:50 AM     0       470    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mmal-
05:21:50 AM     0       472    0.00    0.00    0.00    0.00    0.00     2  kworker/R-mmal-
05:21:50 AM     0       473    0.00    0.00    0.00    0.00    0.00     1  kworker/R-mmal-
05:21:50 AM     0       481    0.00    0.00    0.00    0.00    0.00     1  kworker/R-cfg80
05:21:50 AM     0       500    0.00    0.00    0.00    0.00    0.00     1  kworker/R-brcmf
05:21:50 AM     0       501    0.00    1.00    0.00    0.00    1.00     0  brcmf_wdog/mmc1:0001:1
05:21:50 AM     0       504    0.00    0.00    0.00    0.00    0.00     3  irq/47-vc4 hdmi hpd connected
05:21:50 AM     0       505    0.00    0.00    0.00    0.00    0.00     3  irq/48-vc4 hdmi hpd disconnected
05:21:50 AM     0       506    0.00    0.00    0.00    0.00    0.00     3  cec-vc4-hdmi-0
05:21:50 AM     0       507    0.00    0.00    0.00    0.00    0.00     3  irq/49-vc4 hdmi cec rx
05:21:50 AM     0       508    0.00    0.00    0.00    0.00    0.00     3  irq/50-vc4 hdmi cec tx
05:21:50 AM     0       509    0.00    0.00    0.00    0.00    0.00     2  irq/51-vc4 hdmi hpd connected
05:21:50 AM     0       510    0.00    0.00    0.00    0.00    0.00     2  irq/52-vc4 hdmi hpd disconnected
05:21:50 AM     0       511    0.00    0.00    0.00    0.00    0.00     2  cec-vc4-hdmi-1
05:21:50 AM     0       512    0.00    0.00    0.00    0.00    0.00     2  irq/53-vc4 hdmi cec rx
05:21:50 AM     0       513    0.00    0.00    0.00    0.00    0.00     0  irq/54-vc4 hdmi cec tx
05:21:50 AM     0       514    0.00    0.00    0.00    0.00    0.00     2  card1-crtc0
05:21:50 AM     0       515    0.00    0.00    0.00    0.00    0.00     1  card1-crtc1
05:21:50 AM     0       516    0.00    0.00    0.00    0.00    0.00     1  card1-crtc2
05:21:50 AM     0       517    0.00    0.00    0.00    0.00    0.00     1  card1-crtc3
05:21:50 AM     0       518    0.00    0.00    0.00    0.00    0.00     2  card1-crtc4
05:21:50 AM     0       519    0.00    0.00    0.00    0.00    0.00     2  card1-crtc5
05:21:50 AM     0       527    0.00    2.00    0.00    1.00    2.00     0  kworker/u9:1-uvcvideo
05:21:50 AM     0       553    0.00    0.00    0.00    0.00    0.00     3  wpa_supplicant
