procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 177156  50300 578884    0    0     0     0 7557 11523 78 19  2  0  0  0
20  0      0 176400  50312 578912    0    0     0    44 7740 13308 78 21  1  0  0  0
14  0      0 176988  50312 578952    0    0     0     0 7250 11471 78 21  1  0  0  0
16  0      0 176768  50312 578976    0    0     0   520 7382 12078 74 24  2  0  0  0
17  0      0 178316  50312 579012    0    0     0   108 7360 10646 76 22  2  0  0  0
12  0      0 176348  50312 579048    0    0     0     0 7503 11982 77 20  3  0  0  0
 9  0      0 176096  50320 579080    0    0     0    60 7454 13264 79 19  2  0  0  0
 9  0      0 173576  50320 579120    0    0     0     0 7445 12277 78 19  2  0  0  0
10  0      0 173512  50320 579156    0    0     0     0 7355 11634 78 20  2  0  0  0
13  0      0 171748  50320 579192    0    0     0     0 7368 13348 77 21  3  0  0  0
 4  0      0 174156  50320 579220    0    0     0   100 7722 11396 73 24  3  0  0  0
15  0      0 175080  50332 579252    0    0     0    52 7381 11761 76 22  2  0  0  0
20  0      0 175936  50332 579284    0    0     0     0 7367 11192 78 20  2  0  0  0
11  0      0 176900  50332 579316    0    0     0     0 7188 11089 79 20  1  0  0  0
18  0      0 176144  50332 579352    0    0     0     0 7540 12462 77 21  3  0  0  0
12  0      0 175088  50332 579384    0    0     0     0 7465 10729 79 19  2  0  0  0
 6  0      0 171308  50340 579420    0    0     0    68 7291 12296 76 22  2  0  0  0
 8  0      0 174980  50340 579452    0    0     0     0 7480 11418 73 23  4  0  0  0
 9  0      0 174228  50340 579484    0    0     0     0 7502 11994 74 21  5  0  0  0
 6  0      0 176728  50340 579516    0    0     0     0 7443 12172 77 19  4  0  0  0
10  0      0 175520  50340 579552    0    0     0     0 7529 12214 77 19  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  1      0 176840  50344 579580    0    0     0    20 7357 11833 78 20  2  0  0  0
15  0      0 177028  50348 579628    0    0     0     4 7430 12457 77 21  2  0  0  0
17  0      0 172744  50348 579664    0    0     0     0 7315 12471 75 23  2  0  0  0
 7  0      0 172744  50348 579700    0    0     0     0 7694 12514 73 23  4  0  0  0
 6  0      0 171988  50348 579728    0    0     0     0 7594 10945 72 24  4  0  0  0
13  0      0 175444  50348 579764    0    0     0     0 7513 11761 77 21  2  0  0  0
 9  0      0 175672  50356 579796    0    0     0    24 7469 10731 75 19  5  0  0  0
18  0      0 173176  50356 579824    0    0     0     0 7310 12490 75 22  2  0  0  0
17  0      0 174560  50356 579856    0    0     0     0 7457 11021 76 20  4  0  0  0
10  0      0 175672  50356 579884    0    0     0     0 7484 11374 75 21  4  0  0  0
 5  0      0 175752  50356 579916    0    0     0     0 7416 11416 73 25  3  0  0  0
21  0      0 175596  50364 579964    0    0     0    24 7617 11554 73 24  3  0  0  0
 9  0      0 177796  50364 579992    0    0     0     0 7423 12622 75 21  4  0  0  0
 9  0      0 176312  50364 580028    0    0     0   536 7524 12655 75 21  4  0  0  0
17  0      0 175684  50364 580060    0    0     0     0 7611 10682 75 21  4  0  0  0
12  0      0 175540  50364 580092    0    0     0     0 7686 11195 74 21  5  0  0  0
17  0      0 173776  50376 580128    0    0     0    52 7371 11256 75 21  4  0  0  0
20  0      0 175224  50376 580160    0    0     0     0 7315 12201 75 23  2  0  0  0
12  0      0 174284  50376 580196    0    0     0     0 7514 10500 73 23  5  0  0  0
 9  0      0 175352  50376 580228    0    0     0   452 7443 11909 76 20  4  0  0  0
18  0      0 176748  50376 580264    0    0     0     0 7388 11468 79 20  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 176244  50388 580300    0    0     0    48 7444 12503 77 20  4  0  0  0
14  0      0 176244  50388 580324    0    0     0     0 7363 11241 79 19  2  0  0  0
13  0      0 177068  50388 580364    0    0     0     0 7298 12102 77 21  2  0  0  0
15  0      0 175304  50388 580396    0    0     0     0 7497 11266 77 21  2  0  0  0
11  0      0 175980  50388 580424    0    0     0    84 7412 11672 74 23  3  0  0  0
20  0      0 176620  50396 580468    0    0     0    44 7421 12353 78 21  1  0  0  0
10  0      0 175108  50396 580500    0    0     0     0 7521 11070 78 19  3  0  0  0
 9  0      0 174856  50396 580532    0    0     0     0 7318 12417 77 20  3  0  0  0
 9  0      0 176472  50396 580564    0    0     0     0 7418 11369 78 21  1  0  0  0
10  0      0 174204  50396 580592    0    0     0     8 7314 13287 76 21  3  0  0  0
14  0      0 175520  50404 580632    0    0     0    72 7327 12480 75 22  3  0  0  0
11  0      0 175520  50404 580668    0    0     0     0 7248 12874 75 24  2  0  0  0
11  0      0 176672  50404 580696    0    0     0     0 7040 11736 79 20  2  0  0  0
17  0      0 177760  50404 580724    0    0     0     0 7265 10934 79 20  1  0  0  0
20  0      0 175996  50404 580760    0    0     0     0 7443 11722 79 19  1  0  0  0
 7  0      0 173228  50412 580792    0    0     0    28 7108 11261 77 17  6  0  0  0
17  0      0 173244  50412 580812    0    0     0     0 6776 11545 71 17 12  0  0  0
 6  0      0 175084  50412 580844    0    0     0     0 7035 14028 76 21  4  0  0  0
 7  0      0 174064  50412 580872    0    0     0     0 6933 10565 75 20  5  0  0  0
10  0      0 174104  50412 580892    0    0     0     0 6832 10117 80 16  4  0  0  0
 5  0      0 173332  50420 580928    0    0     0   508 7075 9913 79 17  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 174628  50420 580936    0    0     0     0 7307 10346 82 14  4  0  0  0
52  0      0 175488  50420 580944    0    0     0     0 6715 11060 80 18  3  0  0  0
37  0      0 176284  50420 580508    0    0     0    24 6431 10069 74 26  0  0  0  0
17  0      0 348108  50420 578728    0    0     0     0 6198 6341 76 24  0  0  0  0
 9  0      0 617572  50432 567888    0    0     0    56 5174 4031 52 48  0  0  0  0
 8  0      0 702692  50432 567892    0    0     0     0 4791 3701 40 60  0  0  0  0
 1  0      0 1018060  50432 567872    0    0     0     0 4297 1758 77  6 17  0  0  0
 1  0      0 1045648  50432 567772    0    0     0     0  493  299  4  0 96  0  0  0
 1  0      0 1045916  50436 567772    0    0     0   256   82  102  0  0 100  0  0  0
 1  0      0 1045916  50448 567776    0    0     0   116  145  157  0  0 100  0  0  0
 0  0      0 1046612  50448 567776    0    0     0     0  259  284  0  0 100  0  0  0
 0  0      0 1046612  50448 567776    0    0     0     0 1034 1202  0  0 100  0  0  0
 0  0      0 1046612  50448 567776    0    0     0     0 1062 1285  0  0 100  0  0  0
 0  0      0 1046612  50448 567776    0    0     0     4 1132 1343  0  0 100  0  0  0
 0  0      0 1046612  50456 567776    0    0     0    12 1130 1287  0  0 100  0  0  0
 0  0      0 1046864  50456 567776    0    0     0     0 1206 1288  0  1 99  0  0  0
 1  0      0 1046864  50456 567776    0    0     0     0 1011 1102  0  0 100  0  0  0
 0  0      0 1046864  50456 567776    0    0     0     0   84  102  0  0 100  0  0  0
 1  0      0 1046864  50456 567776    0    0     0    36   87  113  0  0 100  0  0  0
 1  0      0 1046864  50456 567776    0    0     0     0   71   77  0  0 100  0  0  0
 1  0      0 1046864  50464 567776    0    0     0    64   57   83  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1046864  50464 567776    0    0     0     0   41   53  0  0 100  0  0  0
 1  0      0 1046864  50464 567776    0    0     0     0   74  100  0  0 100  0  0  0
 0  0      0 1046864  50464 567776    0    0     0    20  759  902  0  0 100  0  0  0
 1  0      0 1046864  50464 567776    0    0     0     0  996 1150  0  0 100  0  0  0
 1  0      0 1046640  50472 568296    0    0     0   116 1462 1365  3  1 96  0  0  0
 1  0      0 1046640  50472 568296    0    0     0     0  996 1058  0  0 100  0  0  0
 0  0      0 1046640  50472 568296    0    0     0     0 1148 1243  0  1 100  0  0  0
 0  0      0 1046640  50472 568296    0    0     0     0 1223 1386  0  0 100  0  0  0
 0  0      0 1046640  50472 568296    0    0     0    28 1245 1364  0  0 99  0  0  0
 0  0      0 1046640  50480 568296    0    0     0   616 1082 1292  0  0 99  1  0  0
 0  0      0 1046640  50480 568296    0    0     0     0 1021 1225  0  0 100  0  0  0
 0  0      0 1046640  50480 568296    0    0     0     0 1015 1217  0  1 100  0  0  0
 0  0      0 1046640  50480 568296    0    0     0    20 1235 1355  0  0 100  0  0  0
 0  0      0 1046640  50480 568300    0    0     0    16 1099 1254  0  0 100  0  0  0
 1  0      0 1046640  50492 568300    0    0     0    48 1089 1266  0  0 100  0  0  0
 0  0      0 1046640  50492 568300    0    0     0     0 1001 1175  0  0 100  0  0  0
 0  0      0 1026228  50500 568292    0    0     8    56 1233 1234  2  2 96  0  0  0
 0  0      0 1026228  50500 568324    0    0     0     0 1217 1325  0  0 100  0  0  0
 1  0      0 1026228  50500 568324    0    0     0     0  984 1132  0  0 100  0  0  0
 0  0      0 1025976  50508 568328    0    0     0   260 1866 1733  4  2 95  0  0  0
