t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778191575040384594,1778191575024204427,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191575040282390,3,IDLE,0,0,0,0,1778191575038327872,-1,LEFT,0,0,0,0,0
1778191575112595205,1778191575101182316,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191575112548964,-1,FORWARD,1,1,1,1,1778191575038327872,-1,IDLE,0,0,0,0,1
1778191575190935427,1778191575190388131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1778191575190881020,3,IDLE,0,0,0,0,1778191575038327872,-1,IDLE,0,0,0,0,0
1778191575279822798,1778191575268946575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1778191575279716927,0,LEFT,0,0,0,1,1778191575257110927,-1,IDLE,0,0,0,0,0
1778191575326387872,1778191575325621816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1778191575326263446,-1,LEFT,1,0,0,0,1778191575257110927,-1,IDLE,0,0,0,0,1
1778191575370157001,1778191575358934983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1778191575370106094,3,IDLE,0,0,0,0,1778191575257110927,-1,IDLE,0,0,0,0,0
1778191575438658483,1778191575425087001,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575438605001,0,FORWARD,0,1,1,1,1778191575414147260,-1,IDLE,0,0,0,0,0
1778191575499067983,1778191575496041149,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575498992723,-1,LEFT,1,0,0,0,1778191575414147260,-1,IDLE,0,0,0,0,1
1778191575568272020,1778191575557429779,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575568216371,3,FORWARD,0,0,0,0,1778191575414147260,-1,IDLE,0,0,0,0,0
1778191575636678853,1778191575636243038,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1778191575636635631,-1,FORWARD,1,1,1,1,1778191575586604723,2,RIGHT,0,0,1,0,0
1778191575710791538,1778191575698664927,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575710653464,3,IDLE,0,0,0,0,1778191575586604723,2,RIGHT,0,0,1,0,0
1778191575789903501,1778191575779631834,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575789854501,-1,IDLE,1,1,1,1,1778191575780298686,1,BACKWARD,0,1,0,0,0
1778191575837318075,1778191575833700612,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575837267482,3,IDLE,0,0,0,0,1778191575780298686,1,BACKWARD,0,1,0,0,0
1778191575913062890,1778191575900237630,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191575913005075,2,FORWARD,1,1,0,1,1778191575848265593,-1,IDLE,0,0,0,0,0
1778191576002170334,1778191575990006482,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1778191576002115130,3,RIGHT,0,0,1,0,1778191575848265593,-1,IDLE,0,0,0,0,0
1778191576056779204,1778191576056331297,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576056688427,2,FORWARD,1,1,0,1,1778191576029946871,0,LEFT,1,0,0,0,0
1778191576109192186,1778191576092634445,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576109144093,-1,RIGHT,0,0,1,0,1778191576029946871,0,LEFT,1,0,0,0,0
1778191576185456186,1778191576184581945,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576185392390,3,IDLE,0,0,0,0,1778191576134891408,1,BACKWARD,0,1,0,0,0
1778191576249984260,1778191576232247075,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576237718056,-1,FORWARD,1,1,1,1,1778191576223968630,2,RIGHT,0,0,1,0,0
1778191576327159538,1778191576321500427,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576327100371,3,IDLE,0,0,0,0,1778191576223968630,2,RIGHT,0,0,1,0,0
1778191576384341741,1778191576369278352,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576369716408,-1,FORWARD,1,1,1,1,1778191576355808667,-1,IDLE,0,0,0,0,1
1778191576446539056,1778191576445234649,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191576446487834,3,IDLE,0,0,0,0,1778191576355808667,-1,IDLE,0,0,0,0,0
